        Mkt-RF     SMB     HML      RF
196901   -1.25   -0.79    1.69    0.53
196902   -5.84   -3.88    0.92    0.46
196903    2.64   -0.26   -0.45    0.46
196904    1.46   -0.87    0.06    0.53
196905   -0.10   -0.27    0.73    0.48
196906   -7.18   -5.39   -1.10    0.51
196907   -7.00   -3.21    1.41    0.53
196908    4.68    0.94   -3.85    0.50
196909   -2.98    1.22   -3.21    0.62
196910    5.06    3.80   -3.22    0.60
196911   -3.79   -2.53   -1.11    0.52
196912   -2.63   -3.67   -3.08    0.64
197001   -8.10    2.91    3.07    0.60
197002    5.13   -2.39    4.02    0.62
197003   -1.06   -2.32    4.25    0.57
197004  -11.00   -6.11    6.39    0.50
197005   -6.92   -4.51    3.63    0.53
197006   -5.79   -2.13    0.79    0.58
197007    6.93   -0.55    1.05    0.52
197008    4.49    1.53    1.08    0.53
197009    4.18    8.62   -5.50    0.54
197010   -2.28   -4.22    0.21    0.46
197011    4.59   -4.07    1.69    0.46
197012    5.72    2.93    0.98    0.42
197101    4.84    7.44    1.35    0.38
197102    1.41    1.90   -1.34    0.33
197103    4.13    2.57   -3.99    0.30
197104    3.15   -0.48    0.74    0.28
197105   -3.98   -1.11   -1.37    0.29
197106   -0.10   -1.43   -2.00    0.37
197107   -4.50   -1.50    0.17    0.40
197108    3.79   -0.18    2.71    0.47
197109   -0.85    0.41   -2.94    0.37
197110   -4.42   -1.78   -0.47    0.37
197111   -0.46   -2.83   -1.74    0.37
197112    8.71    3.29   -0.30    0.37
197201    2.49    6.11    2.03    0.29
197202    2.87    1.38   -2.76    0.25
197203    0.63   -0.27   -1.69    0.27
197204    0.29    0.00    0.22    0.29
197205    1.25   -2.79   -2.69    0.30
197206   -2.43    0.33   -2.48    0.29
197207   -0.80   -2.88    0.77    0.31
197208    3.26   -4.07    4.68    0.29
197209   -1.14   -2.69    0.49    0.34
197210    0.52   -2.71    1.32    0.40
197211    4.60   -1.12    4.78    0.37
197212    0.62   -1.86   -2.29    0.37
197301   -3.29   -3.50    2.68    0.44
197302   -4.85   -3.99    1.68    0.41
197303   -1.29   -2.87    2.84    0.46
197304   -5.68   -3.98    5.66    0.52
197305   -2.94   -6.11    0.19    0.51
197306   -1.56   -2.94    1.43    0.51
197307    5.04    7.86   -5.18    0.64
197308   -3.84   -2.05    1.18    0.70
197309    4.75    2.92    2.11    0.68
197310   -0.86   -0.17    1.74    0.65
197311  -12.74   -7.71    4.00    0.56
197312    0.58   -5.33    4.25    0.64
197401   -0.17    9.87    5.86    0.63
197402   -0.48    0.01    2.55    0.58
197403   -2.81    2.49   -0.09    0.56
197404   -5.29   -0.72    1.01    0.75
197405   -4.67   -3.04   -2.07    0.75
197406   -2.83   -0.16    0.79    0.60
197407   -8.05    0.88    5.21    0.70
197408   -9.35   -0.70    2.57    0.60
197409  -11.77    0.26    5.52    0.81
197410   16.10   -3.50   -9.72    0.51
197411   -4.51   -1.19   -0.08    0.54
197412   -3.44   -4.84    0.06    0.70
197501   13.66   11.02    8.21    0.58
197502    5.56    0.17   -4.53    0.43
197503    2.66    3.78    2.42    0.41
197504    4.23   -0.50   -1.16    0.44
197505    5.19    3.83   -4.07    0.44
197506    4.82    0.77    1.29    0.41
197507   -6.59    2.71    1.65    0.48
197508   -2.85   -3.20   -0.90    0.48
197509   -4.26   -0.11    0.33    0.53
197510    5.31   -3.99    0.29    0.56
197511    2.65   -1.20    1.99    0.41
197512   -1.60   -0.77    1.78    0.48
197601   12.16    4.79    8.60    0.47
197602    0.32    7.01    5.85    0.34
197603    2.33   -1.16   -0.02    0.40
197604   -1.49   -0.07   -0.02    0.42
197605   -1.35   -1.25   -1.31    0.37
197606    4.05   -1.38    0.73    0.43
197607   -1.07    0.30    1.73    0.47
197608   -0.56   -2.00    0.77    0.42
197609    2.06    0.00   -0.28    0.44
197610   -2.42    0.25   -0.13    0.41
197611    0.36    2.35    1.52    0.40
197612    5.65    3.00    2.23    0.40
197701   -4.05    4.78    4.26    0.36
197702   -1.95    1.10    0.48    0.35
197703   -1.37    1.00    1.04    0.38
197704    0.15   -0.11    3.45    0.38
197705   -1.46    1.20    0.83    0.37
197706    4.71    2.13   -0.64    0.40
197707   -1.69    2.13   -0.61    0.42
197708   -1.75    1.51   -2.79    0.44
197709   -0.27    1.44   -0.51    0.43
197710   -4.38    1.26    1.71    0.49
197711    4.00    3.69    0.35    0.50
197712    0.27    1.34   -0.34    0.49
197801   -6.01    2.22    3.29    0.49
197802   -1.38    3.57    0.80    0.46
197803    2.85    3.44    1.25    0.53
197804    7.88    0.39   -3.47    0.54
197805    1.76    4.59   -0.60    0.51
197806   -1.69    1.69    0.58    0.54
197807    5.11    0.27   -1.11    0.56
197808    3.75    5.09   -0.48    0.56
197809   -1.43   -0.41    1.88    0.62
197810  -11.91   -9.90    1.36    0.68
197811    2.71    3.02   -2.21    0.70
197812    0.88    1.24   -2.19    0.78
197901    4.23    3.69    2.25    0.77
197902   -3.56    0.46    1.18    0.73
197903    5.68    3.19   -0.65    0.81
197904   -0.06    2.16    1.07    0.80
197905   -2.21    0.49    1.83    0.82
197906    3.85    1.16    1.44    0.81
197907    0.82    1.26    1.72    0.77
197908    5.53    2.08   -1.52    0.77
197909   -0.82   -0.26   -0.92    0.83
197910   -8.10   -3.33   -1.86    0.87
197911    5.21    2.74   -3.28    0.99
197912    1.79    4.17   -2.01    0.95
198001    5.51    1.65    1.82    0.80
198002   -1.22   -1.81    0.61    0.89
198003  -12.90   -6.64   -1.06    1.21
198004    3.97    0.97    1.06    1.26
198005    5.26    2.16    0.40    0.81
198006    3.06    1.67   -0.90    0.61
198007    6.49    4.24   -6.35    0.53
198008    1.80    3.90   -2.65    0.64
198009    2.19    0.86   -4.74    0.75
198010    1.06    2.49   -2.77    0.95
198011    9.59   -3.48   -8.45    0.96
198012   -4.52   -0.28    2.69    1.31
198101   -5.04    3.00    6.82    1.04
198102    0.56   -0.30    1.02    1.07
198103    3.56    3.58    0.70    1.21
198104   -2.10    4.43    2.29    1.08
198105    0.11    2.01   -0.41    1.15
198106   -2.36   -0.84    5.09    1.35
198107   -1.54   -2.17   -0.60    1.24
198108   -7.03   -1.95    4.83    1.28
198109   -7.17   -2.66    5.17    1.24
198110    4.92    2.16   -4.19    1.21
198111    3.36   -0.96    1.90    1.07
198112   -3.65    1.19    0.75    0.87
198201   -3.24   -1.28    3.12    0.80
198202   -5.86    0.45    6.04    0.92
