%Y-%m-%d;EASTEU;LATAM;CHINA;INDIA;ENERGY;MINING;GOLD;WATER
2002-01-01;0;0;0;0;-0.00711;0;0;-0.0004494
2002-01-02;0.007641;-0.0007166;0;0.04404;0;0.002605;0.006192;0.01594
2002-01-03;0.01745;0.004292;0.02174;0.01541;0;0.001733;0.009828;-0.02108
2002-01-04;0.04121;0.02258;0.008921;0.007373;-0.01586;0.01461;0.01577;0.002811
2002-01-07;0.002241;-0.005598;0.01761;0.02419;0.006667;0.008496;0.005999;0.001152
2002-01-08;0.01819;-0.004924;-0.01053;0.00334;0.001019;-0.002541;0;-0.003286
2002-01-09;0.002634;-0.003532;-0.01421;-0.007652;-0.002009;-0.003398;-0.01203;-0.003033
2002-01-10;0.0122;-0.009957;-0.003584;-0.001922;-0.004558;0.01436;0.05763;0.007991
2002-01-11;-0.008263;-0.0246;-0.007207;-0.006273;-0.006162;-0.0008393;0.007968;-0.009028
2002-01-14;-0.0008737;0.004386;-0.00544;0.02816;-0.009552;0.001678;-0.001134;0.006332
2002-01-15;-0.01808;-0.01618;-0.01281;-0.00519;-0.01669;-0.01265;-0.004551;-0.02052
2002-01-16;0.007979;0.02127;-0.00369;0.0009456;0.003792;0.00508;0.02032;-0.005549
2002-01-17;0.002646;-0.000726;0.0092;0.03392;-0.01577;0.004214;0.01991;-0.008975
2002-01-18;0.01051;0.01227;0;-0.005038;0.01341;0;-0.01434;-0.004833
2002-01-21;0.005215;0;0.01274;0.007775;-0.006443;-0.01099;-0.01568;0.003996
2002-01-22;0.02017;-0.0007176;-0.01274;0.009973;0;0.001699;0.008989;0.002708
2002-01-23;0.00593;-0.01155;0;0.006295;-0.004819;0.006768;0.008909;-0.01328
2002-01-24;-0.008482;0.02439;0.007299;-0.01992;0.01929;0.01257;-0.01452;0.007655
2002-01-25;-0.004696;-0.002839;0.01623;0.00865;0.008276;-0.01173;-0.01131;-0.003605
2002-01-28;-0.01422;0.0007105;0.008905;-0.01369;0.006371;0.005042;0.01692;0.003656
2002-01-29;0.001735;0.00071;0.001771;-0.002761;-0.004586;0.001675;0.002235;0.004306
2002-01-30;-0.01396;-0.02225;-0.01068;-0.01345;-0.01447;0;0.0188;-0.0167
2002-01-31;0.01179;0.0007254;-0.003584;0.01851;0.005383;0.005841;0.01306;-0.005661
2002-02-01;0.0138;0.02152;-0.009017;0.01907;0.01685;0.01732;0.01396;0.01032
2002-02-04;-0.0138;-0.00498;0;0.01074;0.003607;0.003265;0.02734;0.01079
2002-02-05;-0.008284;-0.007877;-0.001813;0.01546;-0.01284;0.01937;0.05843;-0.004681
2002-02-06;-0.005708;-0.008664;0.00543;0.04247;-0.007225;0.019;0.06991;-0.002905
2002-02-07;-0.008846;0.0007249;-0.00543;0.003354;0.007088;-0.008665;-0.0563;-0.003631
2002-02-08;0.007524;-0.009465;0.00543;0.01372;-0.009706;0.00316;0.02384;0.002969
2002-02-11;0.002642;-0.003664;0.01611;0.005764;0.009549;0.008638;0.01682;0.005254
2002-02-12;0.008757;-0.008109;0;0;0.01295;0.001563;-0.02344;-0.002892
2002-02-13;0.002177;0.01031;0;-0.002055;-0.003743;0.006226;0.01787;-0.002298
2002-02-14;-0.009615;0.01382;0;0.01105;0.004013;0.02073;0.009277;0.005408
2002-02-15;0.01049;0.006482;0.01236;0.01052;0.007359;0.00757;0.02372;0.003673
2002-02-18;-0.01136;0;0.01739;0.01001;0.003649;0.003012;0.005396;0.002787
2002-02-19;-0.004405;-0.001437;-0.0104;-0.01526;0;-0.01058;-0.0181;0.007167
2002-02-20;-0.01827;-0.01157;-0.006993;-0.01344;-0.008584;-0.01454;-0.03721;-0.01792
2002-02-21;0.006722;0.000727;-0.001756;0.007356;-0.004949;-0.01241;-0.0269;-0.0003445
2002-02-22;-0.001788;0.002178;0;0.01013;0.007997;0.02239;0.04288;-0.0006135
2002-02-25;0.003573;-0.002905;-0.02491;0.006829;0.01729;0.0007631;-0.004675;-0.009662
2002-02-26;0.01417;0.01945;0.007181;0.04002;0.0119;-0.003821;-0.01511;-0.004226
2002-02-27;-0.01194;0.006399;0.01949;-0.01083;-0.0006415;0.01671;0.05101;0.000198
2002-02-28;-0.009386;0.02104;-0.008811;-0.03481;0.004991;0.008996;-0.008171;0.00903
