Condition	Group	Pre1	Pre2	Pre3	Pre4	Learning	Gender
Low	A	0.77	0.91	0.24	0.72	0.9	M
Low	A	0.82	0.91	0.62	0.9	0.87	F
Low	A	0.81	0.7	0.43	0.46	0.9	F
Low	A	0.88	0.89	0.2	0.63	0.85	M
Low	A	0.78	0.68	0.25	0.73	0.93	F
Low	A	0.74	0.9	0.99	0.99	0.93	M
Low	A	0.78	0.86	0.79	0.78	0.89	F
Low	A	0.76	0.76	0.61	0.85	0.8	F
Low	A	0.93	0.82	0.99	0.99	0.98	M
Low	A	0.82	0.78	0.28	0.75	0.88	F
Low	A	0.91	0.73	0.87	0.72	0.88	M
Low	A	0.96	0.69	0.69	0.59	0.94	F
Low	A	0.97	0.86	0.89	0.9	0.99	F
Low	A	0.89	0.54	0.79	0.96	0.92	F
Low	A	0.76	0.94	0.81	0.95	0.83	M
Low	A	0.84	0.85	0.97	0.86	0.65	F
Low	B	0.62	0.82	0.43	0.56	0.57	F
Low	B	0.5	0.9	0.4	0.93	0.55	F
Low	B	0.68	0.87	0.92	0.92	0.94	M
Low	B	0.61	0.77	0.97	0.92	0.68	M
Low	B	0.68	0.96	0.37	0.52	0.89	M
Low	B	0.57	0.86	0.24	0.87	0.6	M
Low	B	0.48	0.77	0.71	0.95	0.63	F
Low	B	0.64	0.76	0.97	0.75	0.84	M
Low	B	0.56	0.67	0.3	0.21	0.92	M
Low	B	0.46	0.39	0.39	0.32	0.56	M
Low	B	0.59	0.73	0.91	0.97	0.78	F
Low	B	0.55	0.98	0.81	0.76	0.54	M
Low	B	0.67	0.34	0.82	0.47	0.47	F
Low	B	0.49	0.54	0.7	0.82	0.45	M
Low	B	0.58	0.76	0.88	0.92	0.59	F
Low	B	0.7	0.98	0.91	0.93	0.91	F
High	A	0.78	0.76	0.88	0.46	0.98	M
High	A	0.75	0.56	0.99	0.99	0.82	M
High	A	0.74	0.77	0.36	0.8	0.93	F
High	A	0.74	0.88	0.53	0.63	0.81	M
High	A	0.83	0.64	0.89	0.97	0.97	M
High	A	0.85	0.6	0.37	0.91	0.95	M
High	A	0.74	0.64	0.43	0.37	0.7	M
High	A	0.85	0.96	0.96	0.92	1	F
High	A	0.85	0.56	0.92	0.63	0.9	M
High	A	0.98	0.99	0.73	0.95	0.99	M
High	A	0.96	0.56	0.97	0.69	0.95	M
High	A	0.87	0.75	0.6	0.99	0.95	F
High	A	0.9	0.65	0.46	0.81	0.97	M
High	A	0.88	0.98	0.97	0.95	1	M
High	A	0.96	0.95	0.99	0.99	0.99	F
High	B	0.62	0.62	0.83	0.89	0.18	F
High	B	0.54	0.67	0.2	0.78	0.33	F
High	B	0.5	0.99	0.69	0.63	0.88	F
High	B	0.53	0.74	0.33	0.6	0.23	M
High	B	0.66	0.95	0.33	0.96	0.75	F
High	B	0.55	0.34	0.2	0.7	0.21	F
High	B	0.55	0.5	0.95	0.85	0.35	F
High	B	0.66	0.94	0.46	0.89	0.7	M
High	B	0.58	0.49	0.36	0.74	0.34	F
High	B	0.49	0.23	0.99	0.99	0.43	F
High	B	0.66	0.9	0.92	0.98	0.75	F
High	B	0.55	0.54	0.95	0.6	0.44	M
High	B	0.51	0.7	0.52	0.85	0.44	F
High	B	0.44	0.41	0.84	0.82	0.29	F
High	B	0.48	0.56	0.83	0.85	0.48	F
High	B	0.61	0.82	0.88	0.95	0.28	M
