          Mkt-RF     SMB     HML      RF
20040102   -0.17    0.83    0.42   0.003
20040105    1.20    0.35    0.00   0.003
20040106    0.20    0.12    0.17   0.003
20040107    0.34    0.49   -0.09   0.003
20040108    0.45    0.33    0.61   0.003
20040109   -0.72    0.03    0.28   0.003
20040112    0.57    0.85    0.01   0.003
20040113   -0.51    0.16    0.25   0.003
20040114    0.80   -0.08    0.40   0.003
20040115    0.15    0.02   -0.33   0.003
20040116    0.72    0.09    0.46   0.003
20040120    0.15    1.16    0.47   0.003
20040121    0.64   -1.07    0.45   0.003
20040122   -0.32   -0.53    0.06   0.003
20040123   -0.14    0.88   -0.42   0.003
20040126    1.12   -0.13   -0.36   0.003
20040127   -0.96   -0.05    0.03   0.003
20040128   -1.44   -0.35   -0.37   0.003
20040129    0.25   -0.96   -0.79   0.003
20040130   -0.15    0.29    0.27   0.003
20040202    0.27   -0.34   -0.33   0.003
20040203    0.00   -0.18   -0.10   0.003
20040204   -0.97   -1.50   -0.36   0.003
20040205    0.23    0.54    0.04   0.003
20040206    1.39    1.07    0.26   0.003
20040209   -0.10    0.32    0.40   0.003
20040210    0.56    0.50    0.23   0.003
20040211    1.04   -0.24   -0.21   0.003
20040212   -0.46   -0.10   -0.22   0.003
20040213   -0.57   -0.69   -0.06   0.003
20040217    0.98    0.32    0.53   0.003
20040218   -0.39   -0.09    0.04   0.003
20040219   -0.54   -0.95   -0.05   0.003
20040220   -0.30   -0.10   -0.29   0.003
20040223   -0.51   -1.17   -0.14   0.003
20040224   -0.14    0.31   -0.21   0.003
20040225    0.54    0.52    0.13   0.003
20040226    0.29    0.49    0.30   0.003
20040227    0.11    0.20    0.43   0.003
20040301    1.02    0.48    0.27   0.004
20040302   -0.59   -0.08    0.08   0.004
20040303    0.14   -0.17   -0.27   0.004
20040304    0.43    0.79    0.12   0.004
20040305    0.24   -0.11   -0.16   0.004
20040308   -0.84   -0.36    0.21   0.004
20040309   -0.66   -0.42   -0.25   0.004
20040310   -1.50   -0.30   -0.31   0.004
20040311   -1.42    0.38   -0.12   0.004
20040312    1.34    0.96    0.21   0.004
20040315   -1.56   -1.03   -0.11   0.004
20040316    0.43   -0.60   -0.12   0.004
20040317    1.22    0.72    0.29   0.004
20040318   -0.20   -0.48    0.15   0.004
20040319   -1.00    0.34    0.30   0.004
20040322   -1.42   -0.64   -0.08   0.004
20040323   -0.09    0.40   -0.05   0.004
20040324   -0.27   -0.06   -0.31   0.004
20040325    1.68    0.74   -0.48   0.004
20040326    0.00    0.25    0.59   0.004
20040329    1.34    0.59   -0.33   0.004
20040330    0.47    0.45    0.26   0.004
20040331    0.00    0.11    0.17   0.004
20040401    0.64    0.22    0.00   0.004
20040402    0.91    0.82   -0.02   0.004
20040405    0.79    0.07   -0.31   0.004
20040406   -0.29   -0.77    0.27   0.004
20040407   -0.50    0.93   -0.22   0.004
20040408   -0.14   -0.26    0.10   0.004
20040412    0.50    0.21   -0.30   0.004
20040413   -1.49   -0.60   -0.22   0.004
20040414   -0.20   -0.37   -0.22   0.004
20040415   -0.05   -0.30   -0.11   0.004
20040416    0.45   -0.07    0.22   0.004
20040419    0.22    0.50   -0.35   0.004
20040420   -1.48   -0.28    0.12   0.004
20040421    0.60    0.46   -0.02   0.004
20040422    1.44    0.05    0.05   0.004
20040423   -0.01   -0.23   -0.09   0.004
20040426   -0.33   -0.15   -0.09   0.004
20040427    0.13   -0.08   -0.08   0.004
20040428   -1.46   -0.93    0.02   0.004
20040429   -0.86   -0.85   -0.51   0.004
20040430   -0.66   -0.82    0.08   0.004
20040503    0.85    0.01   -0.38   0.003
20040504    0.21    0.48    0.08   0.003
20040505    0.27   -0.11   -0.33   0.003
20040506   -0.80   -0.38   -0.20   0.003
20040507   -1.48   -0.60   -0.53   0.003
20040510   -1.29   -0.51   -0.50   0.003
20040511    0.95    0.83    0.15   0.003
20040512    0.12   -0.20   -0.08   0.003
20040513   -0.08   -0.28    0.00   0.003
20040514   -0.17   -0.69    0.22   0.003
20040517   -1.13   -0.36   -0.41   0.003
20040518    0.76    0.30    0.34   0.003
20040519   -0.19    0.05    0.38   0.003
20040520    0.02   -0.16    0.25   0.003
20040521    0.44    0.39    0.02   0.003
20040524    0.29    0.68    0.59   0.003
20040525    1.66    0.58    0.10   0.003
20040526    0.29    0.13    0.01   0.003
20040527    0.51   -0.26   -0.15   0.003
20040528    0.02   -0.03    0.17   0.003
20040601    0.14    0.63   -0.03   0.004
20040602    0.31   -0.24   -0.16   0.004
20040603   -0.90   -0.88   -0.08   0.004
20040604    0.57    0.31    0.04   0.004
20040607    1.56    0.16    0.35   0.004
20040608    0.08   -0.17   -0.06   0.004
20040609   -1.04   -0.48    0.07   0.004
20040610    0.35   -0.29    0.40   0.004
20040614   -1.05   -0.56   -0.42   0.004
20040615    0.71    0.95    0.25   0.004
20040616    0.14    0.18    0.10   0.004
20040617   -0.14   -0.02    0.23   0.004
20040618    0.19   -0.19    0.25   0.004
20040621   -0.42    0.13    0.12   0.004
20040622    0.38    0.23   -0.02   0.004
20040623    0.90    0.49    0.27   0.004
20040624   -0.23    0.08    0.01   0.004
20040625   -0.23    1.17    0.13   0.004
