year mon New.England Middle.Atlantic Pacific
1995 1 1991 4556 8749
1995 2 1569 3950 11407
1995 3 3084 7154 12064
1995 4 3712 7553 12832
1995 5 3605 8438 14385
1995 6 3543 8509 17613
1995 7 3290 7184 14326
1995 8 3892 8002 15558
1995 9 3339 7510 13513
1995 10 3425 8271 13225
1995 11 3347 6899 12268
1995 12 2560 5372 13778
1996 1 1493 4029 10851
1996 2 1806 4169 10880
1996 3 2938 7573 15109
1996 4 3746 9170 15417
1996 5 4249 10058 15295
1996 6 3974 9092 15802
1996 7 3899 9609 16456
1996 8 4184 9850 15452
1996 9 3557 8296 14412
1996 10 4134 9678 15762
1996 11 3359 7440 11394
1996 12 3086 6690 11035
1997 1 2585 5638 10412
1997 2 2123 6000 12206
1997 3 3256 8026 15389
1997 4 3820 8533 15936
1997 5 3795 8803 16042
1997 6 4238 9331 17089
1997 7 4205 9128 17647
1997 8 4374 8165 16322
1997 9 3648 8689 18318
1997 10 3767 8301 18980
1997 11 3231 7299 12642
1997 12 3005 7677 15062
1998 1 3115 6437 11279
1998 2 2638 6038 13109
1998 3 3652 8056 16437
1998 4 4063 8822 18600
1998 5 4174 8525 16321
1998 6 4697 11366 21191
1998 7 4877 9996 19562
1998 8 4003 9188 18345
1998 9 4529 9855 17853
1998 10 4304 11245 18580
1998 11 3546 9300 14563
1998 12 3744 8442 14751
1999 1 2565 6430 13820
1999 2 2671 6825 13188
1999 3 3999 10028 18115
1999 4 4729 10359 17627
1999 5 4235 9988 19191
1999 6 5143 12874 22662
1999 7 4768 9792 19656
1999 8 4254 10646 18015
1999 9 3789 9120 16298
1999 10 3867 8425 17079
1999 11 3838 9235 13783
1999 12 3521 8269 15411
2000 1 2752 7721 14832
2000 2 2287 6855 14781
2000 3 3999 10084 18496
2000 4 3962 10204 17154
2000 5 4242 10832 18339
2000 6 4304 11390 24290
2000 7 4432 9496 16814
2000 8 4031 9782 19717
2000 9 3610 9995 16700
2000 10 3696 9876 16617
2000 11 3746 9909 16205
2000 12 2674 7029 17372
2001 1 2781 5852 19517
2001 2 2897 7591 13694
2001 3 2689 9401 18872
2001 4 3633 9651 19210
2001 5 4353 10061 19587
2001 6 4137 10299 20622
2001 7 4503 10486 16689
2001 8 4400 10445 20505
2001 9 3373 8103 14653
2001 10 3689 10425 17414
2001 11 3480 9033 14551
2001 12 2851 8227 14879
2002 1 2852 7279 14993
2002 2 2911 8217 15535
2002 3 3469 8049 18021
2002 4 4393 10455 20256
2002 5 4913 12127 20902
2002 6 4773 11591 20367
2002 7 4970 11776 20497
2002 8 4129 10344 19782
2002 9 3947 10664 19591
2002 10 4259 10998 24752
2002 11 3258 8719 17972
2002 12 3299 8980 17035
2003 1 2527 6737 19877
2003 2 2362 7076 21103
2003 3 3048 8640 21627
2003 4 4403 10170 23756
2003 5 4476 11616 25310
2003 6 4898 10791 23294
2003 7 4872 10991 23079
2003 8 4952 12305 21384
2003 9 4118 10258 22183
2003 10 5455 12426 26503
2003 11 3885 9543 17903
2003 12 3849 10833 19844
2004 1 3307 7294 19284
2004 2 2575 7363 19340
2004 3 4234 13513 26085
2004 4 5566 12923 26190
2004 5 5347 12676 26456
2004 6 5781 14869 28619
2004 7 4971 12589 25247
2004 8 4919 11432 26146
2004 9 5156 11629 25812
2004 10 4549 10581 24221
2004 11 5206 11170 23523
2004 12 4699 10750 24728
2005 1 3329 7752 19890
2005 2 2704 8308 20607
2005 3 4550 10591 27331
2005 4 4602 13229 26794
2005 5 5842 12450 26120
2005 6 6183 16034 28934
2005 7 5196 12781 25673
2005 8 5256 12741 25716
2005 9 5321 13040 29399
2005 10 4749 11283 22318
2005 11 4373 12177 21475
2005 12 4971 9919 19580
2006 1 3087 9299 17536
2006 2 3091 8763 22884
2006 3 4988 12403 23307
2006 4 4894 10721 22607
2006 5 4518 11912 25430
2006 6 4935 13024 25276
2006 7 3868 10523 18422
2006 8 4001 11955 19394
2006 9 3813 10013 19388
2006 10 3852 10250 16754
2006 11 3205 8448 13779
2006 12 3371 9141 14686
2007 1 3374 8746 16756
2007 2 2094 6114 16017
2007 3 2949 10145 20473
2007 4 3275 10312 16258
2007 5 3944 10150 19389
2007 6 3333 12261 16165
2007 7 3857 10558 15024
2007 8 3113 10984 18091
2007 9 2746 8568 11928
2007 10 2865 10357 13181
2007 11 2329 7703 9192
2007 12 2023 7869 9649
2008 1 1751 6256 8106
2008 2 1173 5184 10670
2008 3 2212 6139 8685
2008 4 2284 7406 10670
2008 5 2489 10100 12260
2008 6 4119 25552 11695
2008 7 2181 7709 9206
2008 8 1715 5468 7806
2008 9 2081 6104 7970
2008 10 1652 5142 7373
2008 11 1439 3479 6114
2008 12 1254 3357 5334
2009 1 683 2806 4594
2009 2 1484 2503 3935
2009 3 1072 3266 5032
2009 4 1277 3715 4991
2009 5 1578 3508 5416
2009 6 1635 4824 5859
2009 7 1692 4116 5460
2009 8 1580 4182 5319
2009 9 1482 4402 5244
2009 10 1709 3957 5341
2009 11 1303 3752 3986
2009 12 1678 5228 5128
2010 1 1044 3002 5322
2010 2 1725 3121 6210
2010 3 1307 4306 6634
2010 4 1772 4423 5787
2010 5 1607 4294 5748
2010 6 2489 6752 7769
2010 7 1814 4382 6149
2010 8 1609 4697 7376
2010 9 1993 5048 5277
2010 10 1577 4623 5197
2010 11 1721 3573 4727
2010 12 1573 7098 8756
2011 1 790 3793 4212
2011 2 916 2706 4077
2011 3 1157 3534 6985
2011 4 1249 3679 7137
2011 5 1777 5458 8152
2011 6 1880 6309 8079
