date        pg      sp         abt
19620131 -0.094005 -0.037876 0.014286
19620228 -0.039275 0.01627 0.042254
19620330 0.078616 -0.00586 0.053378
19620430 -0.053936 -0.06197 -0.003226
19620531 -0.102167 -0.08599 -0.145631
19620629 -0.137931 -0.081838 -0.034848
19620731 0.118 0.063562 -0.003953
19620831 -0.008993 0.015284 -0.079365
19620928 -0.110708 -0.048207 0.046552
19621031 0.036735 0.004443 0.074689
19621130 0.124752 0.101557 0.07722
19621231 0.003521 0.013492 0.104659
19630131 0.033684 0.049128 0.022876
19630228 -0.030717 -0.028852 0.051118
19630329 0.042254 0.035464 0.085714
19630430 0.056081 0.04852 0.101408
19630531 -0.016077 0.014327 -0.021739
19630628 -0.009804 -0.020198 -0.016993
19630731 -0.027723 -0.00346 0.154787
19630830 0.075085 0.048749 0.106481
19630930 0.003175 -0.011034 -0.021967
19631031 0.008228 0.032218 -0.054118
19631129 0 -0.010539 0.047727
19631231 0.007886 0.024444 0.05423
19640131 0.033646 0.026926 0.021399
19640228 -0.006088 0.009865 -0.064777
19640331 0.036753 0.015167 -0.04329
19640430 -0.034712 0.006077 0.012217
19640528 -0.012308 0.011452 0.061798
19640630 0.031153 0.016424 -0.028571
19640731 0.023414 0.01824 0.122876
19640831 0.001484 -0.01623 -0.134503
19640930 0.004444 0.028718 0.094595
19641030 -0.009587 0.008078 0.004938
19641130 -0.053892 -0.005185 0.070988
19641231 0.031646 0.003909 0.083573
19650129 -0.040337 0.033156 0.004787
19650226 -0.030547 -0.001485 -0.037234
19650331 -0.021559 -0.014526 -0.005525
19650430 0.03 0.034239 0.032778
19650528 -0.021523 -0.007743 0.035135
19650630 -0.021997 -0.048632 -0.067885
19650730 0.025433 0.013433 -0.008403
19650831 -0.03056 0.022522 -0.022727
19650930 0.005254 0.032006 -0.06686
19651029 -0.01446 0.027345 0.018692
19651130 0.017794 -0.008764 0.003077
19651231 -0.02972 0.008951 0.165644
19660131 0.009009 0.004869 -0.021053
19660228 -0.071942 -0.017873 -0.07027
19660331 0.023256 -0.021815 -0.05814
19660429 -0.056818 0.020509 0
19660531 0.036437 -0.05414 -0.037267
19660630 0.003906 -0.016138 -0.045161
19660729 0.048638 -0.013453 0.060811
19660831 0.035514 -0.077751 0.019231
19660930 0.037906 -0.007004 -0.025157
19661031 0.050435 0.047544 0.096774
19661130 -0.02 0.003117 0.106509
19661230 -0.006803 -0.001492 -0.016043
19670131 0.079452 0.078178 -0.059783
19670228 -0.009585 0.001963 0.023256
19670331 0.085484 0.03941 0.048295
19670428 0.015453 0.042239 0.00271
19670531 0.010309 -0.052441 0.046196
19670630 0.008746 0.017512 -0.025974
19670731 0.126301 0.045344 -0.024
19670831 -0.025806 -0.011715 0.063187
19670929 -0.006623 0.032785 0.059432
19671031 -0.050133 -0.029056 -0.073171
19671130 -0.011299 0.001065 -0.018519
19671229 0.054286 0.026277 0.013477
19680131 -0.093767 -0.043848 -0.026596
19680229 0.024096 -0.031223 -0.06044
19680329 0.026471 0.0094 0.038012
19680430 0.084241 0.081929 0.233803
19680531 -0.011968 0.011169 0.075688
19680628 0 0.00912 0.006397
19680731 -0.008345 -0.018478 0.097458
19680830 0.012295 0.011459 -0.023256
19680930 -0.05668 0.038539 0.005952
19681031 0.016881 0.007208 0.061144
19681129 0.113314 0.047964 0.095149
19681231 -0.119593 -0.041617 -0.063032
19690131 -0.004046 -0.008184 0.036364
19690228 -0.02924 -0.047374 -0.033451
19690328 0.040663 0.034444 0.009107
19690430 0.024891 0.021476 0.052708
19690529 0.072546 -0.002218 0.005164
19690630 -0.055703 -0.055577 -0.078767
19690731 0.01573 -0.060178 -0.007063
19690829 0.058496 0.040074 0.056391
19690930 0.026316 -0.025024 0.060498
19691031 0.136154 0.044244 -0.039933
19691128 -0.038593 -0.035274 0.082456
19691231 0.034238 -0.018655 -0.008104
19700130 0.019635 -0.076472 -0.042157
19700227 -0.015766 0.052693 0.035959
19700331 -0.002288 0.001453 -0.031405
19700430 -0.079587 -0.090483 -0.054266
19700529 -0.016311 -0.060967 -0.097826
19700630 -0.040816 -0.050033 -0.012048
19700731 0.11383 0.073295 0.032927
19700831 0.002404 0.044459 -0.013834
19700930 0.014388 0.032998 0.09018
19701030 0.039716 -0.0114 0.022426
